skillId,skillName,cd,description
tiangou_a,挡灾,3,标记一名队友持续 3 回合：期间该队友受到的所有伤害由自身代为承受 60%，且自身获得 25% 减伤与 15% 反伤。
tiangou_b,榴榴,0,对单体造成 85% 攻击的伤害，并按其「凶」层数额外进行一次反击（每层 8% 攻击的真实伤害）。
tiangou_u,可以御凶,6,展开「御凶」光环持续 3 回合：我方全体受到的伤害降低 25%，并将减免总量的 100% 转化为对敌方全体的真实伤害（每回合结算一次）。
xiangliu_a,泽溪,3,将战场化为沼泽持续 3 回合：敌方全体速度 -25%、命中 -10%；每回合结束对敌方全体造成 70% 攻击的伤害，并施加 1 层「湿」。
xiangliu_b,九首噬,0,对最多 9 个目标各造成 40% 攻击的伤害，每命中一个新目标伤害 +8%（累乘）。
xiangliu_u,相柳·九山,6,对敌方全体发动 9 轮 60% 攻击的伤害（每轮随机目标），每轮命中都会使下一轮伤害 +10%；技能结束后，按目标身上「湿」的层数结算真实伤害（每层 30% 攻击）。
xingxing_a,白耳,2,立刻获得一次额外行动机会，并在本回合内速度 +40%。若本次行动击杀了目标，则该技能 CD 立即重置。
xingxing_b,疾行,0,对单体造成 85% 攻击的伤害；若自身速度高于目标，伤害提升 50%。
xingxing_u,善走,5,对速度低于自身的所有敌方单位依次造成 120% 攻击的伤害（最多 5 次）；每次击杀使自己获得一次额外行动，单场最多连锁 3 次。
xuangui_a,龟甲,3,为我方全体附加「玄甲」持续 3 回合：减免 20% 伤害，并使自身每次受到攻击时，为该单位回复 5% 最大生命。
xuangui_b,判木,0,对单体造成 75% 攻击的伤害，并延长我方全体 1 个增益的持续时间 1 回合。
xuangui_u,旋龟之守,6,延长我方全体所有增益的持续时间至战斗结束（上限 5 回合），并为全队附加「不聋」持续 3 回合：免疫所有减益，且每次敌方施加减益失败时，我方全体获得 1 层「甲」（减伤 +3%，上限 10 层）。
yinglong_a,翻云,3,对敌方全体造成 100% 攻击的伤害并施加「湿」（受水属性伤害 +15%，可叠 3 层）；为我方全体附加「蓄水」2 回合（每回合回复 5% 最大生命）。
yinglong_b,龙翼,0,对单体造成 105% 攻击的伤害；若自身「水势」≥10 层，额外对相邻格单位造成 60% 攻击的伤害。
yinglong_u,应龙·决水,7,清空全部水势，对敌方全体造成（150% + 水势层数 ×15%）攻击的伤害；若水势 ≥15 层，技能结束后对全场施加「洪」持续 2 回合——敌方每回合受到 120% 攻击的伤害并被击退一格（换位），我方免疫。
yuqiang_a,玄水,3,对敌方全体造成 110% 攻击的伤害并各施加 2 层「霜」；若目标「霜」达到 5 层，则转化为「冰封」1 回合（无法行动、无法被治疗、受到伤害 +20%）。
yuqiang_b,珥蛇,0,对单体造成 95% 攻击的伤害，并施加 1 层「霜」（每层速度 -8%，可叠 5 层）。
yuqiang_u,玄冥·北冥,7,将全场冻结 1 回合（我方免疫），随后进入「北冥」状态 3 回合：敌方全体速度降低 50%、无法获得任何增益；我方全体速度 +30%、且每次攻击有 40% 概率对目标施加「冰封」；技能结束时对全场敌方按「霜」层数结算真实伤害（每层 25% 攻击）。
zheng_a,赤豹突,3,突进至敌方后排，对其最高攻击力单位发动 8 段 45% 攻击的伤害；每段暴击使其「裂甲」（护甲与减伤 -8%，可叠 8 层）。
zheng_b,击石,0,对随机敌人发动 5 段 35% 攻击的伤害，每段独立判定暴击。
zheng_u,一角破军,6,对单体发动 12 段 60% 攻击的伤害，每段若暴击则本次技能剩余段数伤害 +15%；技能结束后，目标身上的「裂甲」层数转化为额外真实伤害（每层 20% 攻击）。
zhulong_a,开阖,3,主动切换昼夜状态（不消耗回合），并对敌方全体造成 100% 攻击的伤害；切换后，我方全体立刻获得新状态的全部增益，持续到下次切换。
zhulong_b,赤目,0,对单体造成 120% 攻击的伤害；昼状态下附加 3 层灼烧，夜状态下回复自身 8% 最大生命。
zhulong_u,烛九阴,7,强制锁定状态为「昼」持续 3 回合：期间我方全体攻击 +50%、暴击伤害 +60%，且每次暴击延长本效果 1 回合（最多延长至 5 回合）。技能结束时全场敌方受到一次 300% 攻击的结算。
zhurong_a,炎上,3,对敌方全体造成 130% 攻击的伤害，并各施加 2 层灼烧；若目标已处于灼烧状态，改为额外施加 2 层并使其「易燃」（受火伤 +15%）。
zhurong_b,燎原,0,对单体造成 110% 攻击的伤害，并施加 2 层灼烧（每层每回合造成 4% 施加者攻击的伤害）。
zhurong_u,朱明·天火,7,引爆全场所有灼烧层数：每层造成 15% 攻击的真实伤害，并重新施加等量层数。随后召唤天火持续 3 回合——每回合结束对敌方全体造成 100% 攻击的伤害，此伤害不可被闪避与免疫。
