beastId,displayName,element,role,rarity,source,quote,lore,codex,traitName,traitDescription,bodyMainHex,bodyAccentHex,energyGlowHex,eyeCoreHex,outlineHex
luwu,陆吾,3,1,1,《山海经·西山经》,昆仑之丘，是实惟帝之下都，神陆吾司之。其神状虎身而九尾，人面而虎爪，是神也，司天之九部及帝之囿时。,虎身九尾，人面虎爪。昆仑是天帝在人间的都城，而陆吾是它的守门人——他掌管的不是战斗，是「界限」。他不允许不该进来的东西进来。,昆仑不是不让人进，是陆吾觉得你还没准备好。,司界,我方站位在前排（第 1 行）的单位受到的伤害降低 20%；敌方单位无法穿过我方前排攻击后排（无位移类技能时）。,#D9B26A,#2A2118,#E8C25B,#C9A063,#2A2118
migu,迷榖,1,1,2,《山海经·南山经》,招摇之山，有木焉，其状如榖而黑理，其华四照，其名曰迷榖，佩之不迷。,并非兽，而是招摇山上的一株神木。树皮有黑色纹理，开花时光照四方。折一枝带在身上，就永远不会在山里迷路。此处的迷榖，是它化形而出的木灵。,招摇山上没有路，只有迷榖。找到它的人，从此再没丢过方向。,不迷,自身免疫「放逐」「传送改位」类效果；我方单位不会被强制改变站位。受到攻击时，为攻击者附加 1 层「迷」（命中 -10%，可叠 3 层）。,#5D8A66,#BCE672,#F4F8D3,#C9A063,#2A2118
qiongqi,穷奇,4,2,3,《山海经·西山经》,邽山，其上有兽焉，其状如牛，猬毛，名曰穷奇，音如獆狗，是食人。,牛身猬毛，声如狗吠。它是四凶之一，专门助长恶行：听说谁忠诚就咬谁的鼻子，听说谁凶恶就送他猎物。它不害好人，它是「好人」的敌人。,它不撒谎，它只是永远站在错的那一边。,助恶,战斗中，敌方增益越多，自身攻击力越高（每 1 个敌方增益 +8% 攻击）；自身每次攻击都会剥离目标 1 个增益，每剥离 1 个，该次伤害 +20%。,#8A7B63,#C8CFD3,#E9F1F6,#C8352C,#2A2118
qiuyu,犰狳,4,1,1,《山海经·东山经》,余峨之山，有兽焉，其状如菟而鸟喙，鸱目蛇尾，见人则眠，名曰犰狳，其鸣自訆，见则螽蝗为败。,像兔子却有鸟嘴，猫头鹰的眼，蛇的尾巴。见到人就装睡。它出现时，田里的蝗虫会死光——一个看起来最没用的家伙，恰好是唯一能治蝗灾的。,它不是懒，它只是把力气用在了没人在看的时候。,见人则眠,自身生命低于 30% 时进入「眠」状态：无法行动，但免疫所有伤害与控制，并在 1 回合后苏醒并回复 40% 最大生命（每场限 1 次）。,#A89678,#C8CFD3,#E9F1F6,#2A2118,#2A2118
rushou,蓐收,4,2,3,《山海经·海外西经》,西方蓐收，左耳有蛇，乘两龙。,西方之神，司秋与刑杀。左耳挂着一条蛇，乘两龙。秋是收获的季节，也是行刑的季节——割下麦穗与割下头颅，在他手里是同一件事。,他割下麦穗的时候，麦田很安静。,刑杀,我方所有单位对生命值低于 40% 的敌人造成的伤害 +45%；我方每次击杀，全队获得 1 层「秋决」（暴击伤害 +8%，上限 8 层，本局内保留）。,#C8CFD3,#C9A063,#E9F1F6,#6B7B8C,#2A2118
taotie,饕餮,3,2,2,《山海经·北山经》（狍鸮）、《神异经》,（狍鸮）其状如羊身人面，其目在腋下，虎齿人爪，其音如婴儿，名曰狍鸮，是食人。,羊身人面，眼睛长在腋下，虎齿人爪。它最大的问题不是贪吃，是永远吃不饱。最早它只是「狍鸮」，后来人们给它改名「饕餮」，从此它的名字本身就成了一种罪。,它连自己的影子都想吃。,无餍,每次击杀敌方单位，永久获得 +8% 攻击力与 +8% 最大生命（可无限叠加，跨战斗保留本局内层数）；自身每吞噬一个增益，回复 12% 最大生命。,#8B6B3E,#C9A063,#E8C25B,#C8352C,#2A2118
tiangou,天狗,4,1,2,《山海经·西山经》,阴山，有兽焉，其状如狸而白首，名曰天狗，其音如榴榴，可以御凶。,像狸而白首，叫声「榴榴」。古书说它可以「御凶」——它不是猎犬，它是挡在灾祸前面的那一道。（注：此天狗与后世的「天狗食月」无关，前者是守护兽，后者是灾兆，本作取守护兽义。）,灾祸来的时候，它已经站在那里了。,御凶,我方单位受到伤害时，有 30% 概率将该次伤害的 50% 转移到自身（转移后按自身减伤重新计算）；自身每转移一次伤害，获得 1 层「凶」（反击伤害 +10%，上限 10 层）。,#6B6157,#E9F1F6,#C8CFD3,#F0C239,#2A2118
xiangliu,相柳,5,2,2,《山海经·海外北经》,共工之臣曰相柳氏，九首，以食于九山。相柳之所抵，厥为泽溪。,共工的臣属，九个脑袋，同时吃九座山上的东西。它爬过的地方，都会变成沼泽和溪流——不是它造水，是水怕它，往它后面躲。,九个脑袋，没有一个在想好事。,九首,自身普攻对最多 9 个不同目标各发动 1 段 40% 攻击的伤害（目标不足 9 个时，多出的段数随机重复命中）；每命中一个新目标，本次技能伤害 +8%。,#4A5A45,#2A2118,#7BC47F,#C8352C,#2A2118
xingxing,狌狌,1,5,1,《山海经·南山经》,招摇之山，有兽焉，其状如禺而白耳，伏行人走，其名曰狌狌，食之善走。,长得像猿，白色耳朵，能伏地爬行也能直立奔跑。传说吃了它的肉会变得极善奔走。它跑得快，是因为它总在躲避自己知道的事情——狌狌知往而不知来。,它知道所有走过的路，所以从不敢回头看。,知往,战斗开始时，自身速度额外 +20%；每次我方有单位阵亡，自身速度再 +10%（无上限）。自身行动时不消耗怒气。,#B08A5E,#E9E4D8,#BCE672,#8B5A2B,#2A2118
xuangui,旋龟,5,4,1,《山海经·南山经》,杻阳之山，怪水出焉，而东流注于宪翼之水。其中多玄龟，其状如龟而鸟首虺尾，其名曰旋龟，其音如判木，佩之不聋。,黑色的龟，鸟的头，蛇的尾。叫声像劈木头。把它的甲佩在身上，耳朵就不会聋——它带来的不是洪亮的声音，而是「不会错过任何声音」的能力。,它不叫的时候，你才知道什么是安静。,佩之不聋,我方全体免疫「沉默」，且我方所有增益的持续时间 +1 回合；敌方施加的任何减益，其持续时间 -1 回合（最低 1 回合）。,#424C56,#C9A063,#7BC47F,#C8352C,#2A2118
yinglong,应龙,5,2,3,《山海经·大荒东经》《大荒北经》,应龙处南极，杀蚩尤与夸父，不得复上，故下数旱。……应龙畜水。,有翼之龙。它杀了蚩尤与夸父，立下大功，却因为耗尽了力气再也回不了天上，只能留在人间蓄水。它落下去的地方，天就不再下雨。,它曾飞过最高的天，所以最懂低处的水。,畜水,战斗开始时，自身累积「水势」（每回合 +2 层，上限 20 层）；每层使自身下一次伤害性技能 +6%。使用绝技后清空水势。击杀敌方单位时，水势 +5 层。,#3E5A7A,#C8CFD3,#6B9FD4,#FFD84D,#2A2118
yuqiang,禺强,5,3,3,《山海经·海外北经》,北方禺强，人面鸟身，珥两青蛇，践两赤蛇。,北方之神，亦称玄冥，人面鸟身，两耳挂青蛇，两脚踏赤蛇。他掌管冬与寒，也掌管北方的风——在他脚下，水会自己结成冰。,他不需要动手，北风会替他做完剩下的事。,玄冥,战斗开始时，敌方全体的速度按当前节气降序排列并标记为行动序列（玩家可见）；敌方每有一个单位被冻结，我方全体攻击 +6%（可叠加）。,#42506B,#2C3A55,#6B9FD4,#A8D8E8,#2A2118
zheng,狰,4,5,2,《山海经·西山经》,章莪之山，有兽焉，其状如赤豹，五尾一角，其音如击石，其名曰狰。,赤色豹身，五条尾巴，头上一只角，叫声像敲石头。它跑起来的时候，五条尾巴会在身后扫出一道光。,五条尾巴扫过去，石头就真的是石头声了。,五尾,自身普攻改为对随机敌人发动 5 段攻击（每段 35% 攻击）；每段命中独立判定暴击，任意一段暴击则下一段伤害 +25%（可累乘）。,#D65A32,#E9E4D8,#FFD84D,#C8352C,#2A2118
zhulong,烛龙,2,2,3,《山海经·大荒北经》,章尾山，有神，人面蛇身而赤，直目正乘，其瞑乃晦，其视乃明，不食不寝不息，风雨是谒。是烛九阴，是谓烛龙。,人面蛇身，通体赤红，身长千里。它闭上眼睛就是黑夜，睁开眼睛就是白天。不吃不睡不呼吸，一呼一吸之间便是风与雨。它不是神，它是昼夜本身。,它睁眼的时候，请不要直视。,司昼夜,战斗在第 1 回合开始时进入「昼」状态，第 2 回合转换为「夜」，如此交替。「昼」：我方全体攻击 +25%，暴击率 +15%；「夜」：我方全体减伤 +25%，回复 +30%。,#8C2B22,#2A2118,#FF4E20,#FFD84D,#2A2118
zhurong,祝融,2,3,3,《山海经·海外南经》,南方祝融，兽身人面，乘两龙。,南方之神，司夏与火。兽身人面，乘两龙而行。他掌管的不是「燃烧」而是「热」本身——在他面前，连空气都会自己着火。,祝融走过的地方，不需要点火。,燚,我方所有火属性伤害无视敌方 25% 的抗性；场上每存在 1 层灼烧，我方火属性单位攻击力 +1%（无上限）。,#C8352C,#F0A03C,#FF7A2F,#FFD84D,#2A2118
